emission_group_id,emission_type,emission_type_class,emission_type_id
781311,Bioenergy,Biogas,8144
781314,Bioenergy,Biomass,8144
781318,Electricity,Electricity generated,8136
781319,Electricity,T & D UK electricity,8136
781320,Fuels,Liquid fuels,8137
781327,Fuels,Solid fuels,8137
781336,Fuels,Gaseous fuels,8137
781348,Heat and steam,Heat and steam,8145
781351,Homeworking,Homeworking (office equipment + heating),8147
781352,Hotel stay,Hotel stay,8148
781354,Material use,Construction,8146
781362,Material use,Electrical items,8146
781366,Material use,Other,8146
781368,Material use,Organic,8146
781381,Material use,Metal,8146
781393,Material use,Paper,8146
781401,Material use,Plastic,8146
781425,Process,Other products,8150
781429,Refrigerants,Other products,8139
781431,Refrigerants,Blends,8139
781480,Renewables,Renewable Electricity Purchase Direct Supply,8149
781481,Renewables,Renewable Heat Purchase Direct Supply,8149
781482,Transport - car,Cars (by size),8141
781530,Transport - car,Motorbike,8141
781548,Transport - public,Bus,8142
781549,Transport - public,Taxis,8142
781552,Transport - public,Ferry,8142
781555,Transport - public,Flights,8142
781569,Transport - public,Rail,8142
781577,Transport - van/HGV,Vans,8143
781593,Transport - van/HGV,Heavy Goods Vehicle (all diesel),8143
781599,Transport - van/HGV,Heavy Goods Vehicle Refrigerated (all diesel),8143
781623,Waste,Construction,8140
781630,Waste,Electrical items,8140
781631,Waste,Other,8140
781635,Waste,Clinical,8140
781642,Waste,Refuse,8140
781653,Waste,Metal,8140
781681,Waste,Paper,8140
781695,Waste,Plastic,8140
781736,Water,Water supply,8138
781738,Water,Water treatment,8138
