emission_source_id,emission_source,emission_type_id,mapping_string
91274921,Biogas,8144,biogas
91274922,Landfill gas,8144,landfill gas
91274923,Wood chips,8144,wood chips
91274924,Wood pellets,8144,wood pellets
91274925,Electricity: UK,8136,electricity: uk
91274926,Transmission and distribution - Electricity: UK,8136,transmission and distribution - electricity: uk
91274927,Aviation spirit,8137,aviation spirit
91274928,Aviation turbine fuel,8137,aviation turbine fuel
91274929,Burning oil (Kerosene),8137,burning oil (kerosene)
91274930,Coal (industrial),8137,coal (industrial)
91274931,Diesel (100% mineral diesel),8137,diesel (100% mineral diesel)
91274932,Diesel (average biofuel blend),8137,diesel (average biofuel blend)
91274933,Fuel oil,8137,fuel oil
91274934,Gas oil,8137,gas oil
91274935,Liquefied Petroleum Gas,8137,lpg
91274936,Marine fuel oil,8137,marine fuel oil
91274937,Marine gas oil,8137,marine gas oil
91274938,Natural gas,8137,natural gas
91274939,Petrol (100% mineral diesel),8137,petrol (100% mineral diesel)
91274940,Petrol (average biofuel blend),8137,petrol (average biofuel blend)
91274941,Propane,8137,propane
91274942,Waste oils,8137,waste oils
91274943,District heat and steam,8145,district heat and steam
91274944,On-site heat and steam,8145,onsite heat and steam
91274945,"Transmission and distribution - district heat & steam, 5% loss",8145,"transmission and distribution - district heat & steam, 5% loss"
91274946,Homeworking (office equipment + heating),8147,homeworking (office equipment + heating)
91274947,Hotel stay - UK,8148,hotel stay - uk
91274948,Hotel stay - UK (London),8148,hotel stay - uk (london)
91274949,Aggregates - Primary material production,8146,aggregates - primary material production
91274950,Aggregates - Recycled source,8146,aggregates - recycled source
91274951,Aggregates - Re-used,8146,aggregates - re-used
91274952,Asbestos - Primary material production,8146,asbestos - primary material production
91274953,Asphalt - Primary material production,8146,asphalt - primary material production
91274954,Asphalt - Recycled source,8146,asphalt - recycled source
91274955,Asphalt - Re-used,8146,asphalt - re-used
91274956,Average construction - Primary material production,8146,average construction - primary material production
91274957,Batteries - Alkaline - Primary material production,8146,batteries - alkaline - primary material production
