"scope","consumption_data","emission_factor","emission_factor_unit","emission","comment","starting_year","organisation_id","emission_type_id","emission_type","emission_source_id","emission_source","unit_id","consumption_data_unit"
"Scope 1",63718617.0,0.18316,"kg CO2e/kWh",11670.701889719998,"Natural Gas",2021,3999111,8137,"Fuels",91274938.0,"Natural gas",681539.0,"kWh"
"Scope 1",989315.0,0.25679,"kg CO2e/kWh",254.04619885000002,"Gas oil  ",2021,3999111,8137,"Fuels","","",681539.0,"kWh"
"Scope 1",43084.0,0.24677,"kg CO2e/kWh",10.63183868,"Kerosine Burning Oil",2021,3999111,8137,"Fuels","","",681539.0,"kWh"
"Scope 1",277773.0,0.1467,"kgCO2e/km",40.749299099999995,"Small commercial vehicle ",2021,3999111,8151,"Other","","",681538.0,"km"
"Scope 1",1329452.0,0.24116,"kgCO2e/km",320.61064432,"Large commercial vehicle ",2021,3999111,8151,"Other","","",681538.0,"km"
"Scope 1",37071.0,0.78968,"kgCO2e/km",29.27422728,"HGV",2021,3999111,8151,"Other","","",681538.0,"km"
"Scope 1",5236.0,0.11774000000000001,"kg CO2e/passenger km",0.6164866400000001,"Busses",2021,3999111,8151,"Other","","","",""
"Scope 1",2144160.0,0.14946,"kg CO2e/km",320.46615360000004,"Pool cars ",2021,3999111,8151,"Other","","",681538.0,"km"
"Scope 1",9469440.0,0.01513,"kg CO2e/kWh",143.2726272,"Biomass woodpellet",2021,3999111,8151,"Other","","",681539.0,"kWh"
"Scope 1",618585.0,0.01513,"kg CO2e/kWh",9.35919105,"Biomass woodchip ",2021,3999111,8151,"Other","","",681539.0,"kWh"
"Scope 1",0.23,1430.0,"kg CO2e",0.3289,"F-Gas - R123a ",2021,3999111,8151,"Other","","",681537.0,"kg"
"Scope 1",1.78,3922.0,"kg CO2e",6.98116,"F-Gas - R404a",2021,3999111,8151,"Other","","",681537.0,"kg"
"Scope 1",0.8,2088.0,"kg CO2e",1.6704,"F-Gas - R410a",2021,3999111,8151,"Other","","",681537.0,"kg"
"Scope 2",26503005.0,0.21233000000000002,"kg CO2e/kWh",5627.383051650001,"Grid Electricity ",2021,3999111,8136,"Electricity","","",681539.0,"kWh"
