"consumption_data","emission_factor","emission_factor_unit","emission","comment","starting_year","organisation_id","emission_type_id","emission_type","emission_source_id","emission_source","scope_id","scope","consumption_data_unit_id","consumption_data_unit"
8097720.0,0.21233000000000002,"kg CO2e/kWh",1719.3888876000003,"Source: eSight Energy Management System",2021,3999112,8136,"Electricity","","",4312,"Scope 2",681539.0,"kWh"
8097720.0,0.018789999999999998,"kg CO2e/kWh",152.1561588,"Source: eSight Energy Management System",2021,3999112,8136,"Electricity","","",4312,"Scope 2",681539.0,"kWh"
24011894.0,0.18316,"kg CO2e/kWh",4398.0185050400005,"Source: eSight Energy Management System",2021,3999112,8137,"Fuels",91274938.0,"Natural gas",4311,"Scope 1",681539.0,"kWh"
1581780.0,0.01513,"kg CO2e/kWh",23.9323314,"Source: eSight Energy Management System",2021,3999112,8137,"Fuels","","",4311,"Scope 1",681539.0,"kWh"
87991.0,0.11,"kg CO2e/m3",9.67901,"Source: eSight Energy Management System",2021,3999112,8138,"Water","","",4312,"Scope 2","",""
87991.0,0.23,"kg CO2e/m3",20.23793,"Source: eSight Energy Management System",2021,3999112,8138,"Water","","",4312,"Scope 2","",""
295.0,21.293565891472866,"kgCO2e/tonne",6.281601937984496,"Source: Scottish Borders Council Refuse Report",2021,3999112,8140,"Waste","","",4313,"Scope 3",681547.0,"tonnes"
0.0,1000.0,"kg CO2e/tonne",0.0,"Source: Tradebe National Clinical Waste Provider",2021,3999112,8140,"Waste",91275174.0,"Clinical Waste - Red Stream",4313,"Scope 3",681547.0,"tonnes"
367.2,273.0,"kg CO2e/tonne",100.2456,"Source: Tradebe National Clinical Waste Provider",2021,3999112,8140,"Waste",91275172.0,"Clinical Waste - Orange Stream",4313,"Scope 3",681547.0,"tonnes"
15.3,297.0,"kg CO2e/tonne",4.5441,"Source: Tradebe National Clinical Waste Provider",2021,3999112,8140,"Waste",91275175.0,"Clinical Waste - Yellow Stream",4313,"Scope 3",681547.0,"tonnes"
190.0,21.293565891472866,"kg CO2e/tonne",4.045777519379845,"Source: Scottish Borders Council Refuse Report",2021,3999112,8140,"Waste","","",4313,"Scope 3",681547.0,"tonnes"
0.21,0.3,"tCO2e/FTE/annum",177.912,"Estimated based on head count",2021,3999112,8151,"Other","","",4313,"Scope 3","",""
